author,id,title
60,2488,"Twenty Thousand Leagues Under the Seas: An Underwater Tour of the World"
60,54873,"Vingt mille lieues sous les mers (French)"
60,2083,"In Search of the Castaways; Or, The Children of Captain Grant"
60,10349,"Naar het middelpunt der Aarde (Dutch)"
60,83,"From the Earth to the Moon; and, Round the Moon"
60,11205,"20.000 Mijlen onder Zee: Oostelijk Halfrond (Dutch)"
60,3526,"Five Weeks in a "
60,1842,"Michael Strogoff; Or, The Courier of the Czar"
60,5097,"Vingt mille Lieues Sous Les Mers — Complete (French)"
60,3748,"A Journey into the Interior of the Earth"
60,24777,"Celebrated Travels and Travellers, "
60,1353,"Off on a Comet! a Journey through Planetary Space"
60,4548,"Cinq Semaines En Ballon (French)"
28,25344,"The Scarlet Letter"
28,512,"Mosses from an old manse"
28,13707,"Twice-told tales"
28,77,"The House of the Seven Gables"
28,39716,"Nathaniel Hawthorne"
28,59280,"Index of the Project Gutenberg Works of Nathaniel Hawthorne"
28,2081,"The Blithedale Romance"
28,40196,"The Oxford Book of American Essays"
28,12732,"A collection of short-stories"
28,1916,"The Great Stone Face, and Other Tales of the White Mountains"
28,15697,"True Stories of History and Biography"
28,976,"Tanglewood Tales"
28,2181,"The Marble Faun; Or, The Romance of Monte Beni - Volume 1"
28,32242,"A Wonder Book for Girls &amp; Boys"
28,513,"The snow-image, and other twice-told tales"
28,9243,"The Wives of the Dead"
28,10135,"The Great English Short-Story Writers, Volume 1"
28,8090,"Our Old Home: A Series of English Sketches"
28,21964,"The Short-story"
28,36990,"La letra escarlata (Spanish)"
28,35377,"A Wonder Book and Tanglewood Tales, for Girls and Boys"
28,9253,"Browne's"
28,1926,"The Whole History of Grandfather'"
28,9257,"The Three Golden Apples"
705,1727,"The "
705,6130,"The Iliad"
705,58221,"La Odisea (Spanish)"
705,3160,"The Odyssey"
705,57654,"La Ilíada (Spanish)"
705,16452,"The Iliad o"
705,1728,"The Odyssey of Homer"
705,48895,"The Odysseys of Homer, together with the shorter poems"
705,36248,"Ιλιάδα (Modern Greek (1453-))"
705,51355,"The Iliads of Homer"
